 100: 1034.311523, 1279.355591 avg loss, 0.000000 rate, 6.466000 seconds, 6400 images
 101: 1348.551025, 1286.275146 avg loss, 0.000000 rate, 8.186000 seconds, 6464 images
 102: 1313.093506, 1288.957031 avg loss, 0.000000 rate, 8.186000 seconds, 6528 images
 103: 1271.448730, 1287.206177 avg loss, 0.000000 rate, 8.187000 seconds, 6592 images
 104: 1171.772095, 1275.662720 avg loss, 0.000000 rate, 8.186000 seconds, 6656 images
 105: 1117.221558, 1259.818604 avg loss, 0.000000 rate, 8.170000 seconds, 6720 images
 106: 1054.198364, 1239.256592 avg loss, 0.000000 rate, 8.167000 seconds, 6784 images
 107: 1015.182068, 1216.849121 avg loss, 0.000000 rate, 8.159000 seconds, 6848 images
 108: 930.115356, 1188.175781 avg loss, 0.000000 rate, 8.161000 seconds, 6912 images
 109: 874.301514, 1156.788330 avg loss, 0.000000 rate, 8.171000 seconds, 6976 images
 110: 811.512512, 1122.260742 avg loss, 0.000000 rate, 8.153000 seconds, 7040 images
 111: 1209.137451, 1130.948364 avg loss, 0.000000 rate, 12.077000 seconds, 7104 images
 112: 1121.330200, 1129.986572 avg loss, 0.000000 rate, 12.124000 seconds, 7168 images
 113: 1044.922363, 1121.480103 avg loss, 0.000000 rate, 12.108000 seconds, 7232 images
 114: 956.250549, 1104.957153 avg loss, 0.000000 rate, 12.155000 seconds, 7296 images
 115: 866.172607, 1081.078735 avg loss, 0.000000 rate, 12.108000 seconds, 7360 images
 116: 749.417847, 1047.912598 avg loss, 0.000000 rate, 12.124000 seconds, 7424 images
 117: 679.161743, 1011.037537 avg loss, 0.000000 rate, 12.093000 seconds, 7488 images
 118: 610.295471, 970.963318 avg loss, 0.000000 rate, 12.202000 seconds, 7552 images
 119: 528.238037, 926.690796 avg loss, 0.000000 rate, 12.123000 seconds, 7616 images
 120: 471.526550, 881.174377 avg loss, 0.000000 rate, 12.217000 seconds, 7680 images
 121: 153.381226, 808.395081 avg loss, 0.000000 rate, 5.652000 seconds, 7744 images
 122: 135.970169, 741.152588 avg loss, 0.000000 rate, 5.648000 seconds, 7808 images
 123: 121.612869, 679.198608 avg loss, 0.000000 rate, 5.639000 seconds, 7872 images
 124: 113.790535, 622.657776 avg loss, 0.000000 rate, 5.650000 seconds, 7936 images
 125: 100.069130, 570.398926 avg loss, 0.000000 rate, 5.663000 seconds, 8000 images
